,WHO Region,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,CountryNum,isMarch
0,Africa,2020-03-01,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,9024,1.0
1,Africa,2020-03-02,0.10416666666666667,0.0,0.0,0.10416666666666667,0.0625,0.0,0.0,9024,1.0
2,Africa,2020-03-03,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0625,0.0,0.0,9024,1.0
3,Africa,2020-03-04,0.3541666666666667,0.0,0.0,0.3541666666666667,0.1875,0.0,0.0,9024,1.0
4,Africa,2020-03-05,0.375,0.0,0.0,0.375,0.020833333333333332,0.0,0.0,9024,1.0
5,Africa,2020-03-06,0.5208333333333334,0.0,0.0,0.5208333333333334,0.14583333333333334,0.0,0.0,9024,1.0
6,Africa,2020-03-07,0.5208333333333334,0.0,0.0,0.5208333333333334,0.0,0.0,0.0,9024,1.0
7,Africa,2020-03-08,0.625,0.0,0.020833333333333332,0.6041666666666666,0.10416666666666667,0.0,0.020833333333333332,9024,1.0
8,Africa,2020-03-09,0.6666666666666666,0.0,0.020833333333333332,0.6458333333333334,0.041666666666666664,0.0,0.0,9024,1.0
9,Africa,2020-03-10,0.7708333333333334,0.0,0.020833333333333332,0.75,0.10416666666666667,0.0,0.0,9024,1.0
10,Africa,2020-03-11,0.9583333333333334,0.0,0.020833333333333332,0.9375,0.1875,0.0,0.0,9024,1.0
11,Africa,2020-03-12,1.125,0.020833333333333332,0.1875,0.9166666666666666,0.16666666666666666,0.020833333333333332,0.16666666666666666,9024,1.0
12,Africa,2020-03-13,1.5208333333333333,0.041666666666666664,0.1875,1.2916666666666667,0.3958333333333333,0.020833333333333332,0.0,9024,1.0
13,Africa,2020-03-14,2.2708333333333335,0.0625,0.2708333333333333,1.9375,0.75,0.020833333333333332,0.08333333333333333,9024,1.0
14,Africa,2020-03-15,3.25,0.08333333333333333,0.2708333333333333,2.8958333333333335,0.9791666666666666,0.020833333333333332,0.0,9024,1.0
15,Africa,2020-03-16,4.145833333333333,0.08333333333333333,0.2916666666666667,3.7708333333333335,0.8958333333333334,0.0,0.020833333333333332,9024,1.0
16,Africa,2020-03-17,4.666666666666667,0.08333333333333333,0.3125,4.270833333333333,0.5208333333333334,0.0,0.020833333333333332,9024,1.0
17,Africa,2020-03-18,6.729166666666667,0.16666666666666666,0.3333333333333333,6.229166666666667,2.0625,0.08333333333333333,0.020833333333333332,9024,1.0
18,Africa,2020-03-19,8.729166666666666,0.20833333333333334,0.75,7.770833333333333,2.0,0.041666666666666664,0.4166666666666667,9024,1.0
19,Africa,2020-03-20,11.4375,0.2708333333333333,0.7708333333333334,10.395833333333334,2.7083333333333335,0.0625,0.020833333333333332,9024,1.0
20,Africa,2020-03-21,14.958333333333334,0.4375,0.9375,13.583333333333334,3.5208333333333335,0.16666666666666666,0.16666666666666666,9024,1.0
21,Africa,2020-03-22,19.083333333333332,0.5416666666666666,1.7291666666666667,16.8125,4.125,0.10416666666666667,0.7916666666666666,9024,1.0
22,Africa,2020-03-23,25.291666666666668,0.625,1.7291666666666667,22.9375,6.208333333333333,0.08333333333333333,0.0,9024,1.0
23,Africa,2020-03-24,32.416666666666664,0.7083333333333334,1.0416666666666667,30.666666666666668,7.125,0.08333333333333333,-0.6875,9024,1.0
24,Africa,2020-03-25,39.645833333333336,0.8333333333333334,2.2291666666666665,36.583333333333336,7.229166666666667,0.125,1.1875,9024,1.0
25,Africa,2020-03-26,48.791666666666664,1.0208333333333333,1.5,46.270833333333336,9.145833333333334,0.1875,-0.7291666666666666,9024,1.0
26,Africa,2020-03-27,57.458333333333336,1.1458333333333333,2.0833333333333335,54.229166666666664,8.666666666666666,0.125,0.5833333333333334,9024,1.0
27,Africa,2020-03-28,61.333333333333336,1.3333333333333333,2.4791666666666665,57.520833333333336,3.875,0.1875,0.3958333333333333,9024,1.0
28,Africa,2020-03-29,69.8125,1.6041666666666667,2.8333333333333335,65.375,8.479166666666666,0.2708333333333333,0.3541666666666667,9024,1.0
29,Africa,2020-03-30,75.77083333333333,1.8541666666666667,3.3333333333333335,70.58333333333333,5.958333333333333,0.25,0.5,9024,1.0
30,Africa,2020-03-31,83.5,2.2083333333333335,4.645833333333333,76.64583333333333,7.729166666666667,0.3541666666666667,1.3125,9024,1.0
31,Americas,2020-03-01,2.2,0.02857142857142857,0.2,1.9714285714285715,0.7142857142857143,0.0,0.0,6580,1.0
32,Americas,2020-03-02,2.942857142857143,0.17142857142857143,0.2,2.5714285714285716,0.7428571428571429,0.14285714285714285,0.0,6580,1.0
33,Americas,2020-03-03,3.6857142857142855,0.2,0.22857142857142856,3.257142857142857,0.7428571428571429,0.02857142857142857,0.02857142857142857,6580,1.0
34,Americas,2020-03-04,4.8,0.3142857142857143,0.22857142857142856,4.257142857142857,1.1142857142857143,0.11428571428571428,0.0,6580,1.0
35,Americas,2020-03-05,7.085714285714285,0.34285714285714286,0.22857142857142856,6.514285714285714,2.2857142857142856,0.02857142857142857,0.0,6580,1.0
36,Americas,2020-03-06,9.228571428571428,0.4,0.22857142857142856,8.6,2.142857142857143,0.05714285714285714,0.0,6580,1.0
